ApsimVersion = 7.6
Title = PFnew drain
           Date     drainageIH       leaching
   (dd/mm/yyyy)           (mm)        (kg/ha)
     05/05/2008              ?              ?
     06/05/2008              ?              ?
     07/05/2008              ?              ?
     08/05/2008              ?              ?
     09/05/2008              ?              ?
     10/05/2008              ?              ?
     11/05/2008              ?              ?
     12/05/2008              ?              ?
     13/05/2008              ?              ?
     14/05/2008              ?              ?
     15/05/2008              ?              ?
     16/05/2008              ?              ?
     17/05/2008              ?              ?
     18/05/2008              ?              ?
     19/05/2008              ?              ?
     20/05/2008              ?              ?
     21/05/2008              ?              ?
     22/05/2008              ?              ?
     23/05/2008              ?              ?
     24/05/2008              ?              ?
     25/05/2008              ?              ?
     26/05/2008              ?              ?
     27/05/2008              ?              ?
     28/05/2008              ?              ?
     29/05/2008              ?              ?
     30/05/2008              ?              ?
     31/05/2008              ?              ?
     01/06/2008              ?              ?
     02/06/2008              ?              ?
     03/06/2008              ?              ?
     04/06/2008              ?              ?
     05/06/2008              ?              ?
     06/06/2008              ?              ?
     07/06/2008              ?              ?
     08/06/2008              ?              ?
     09/06/2008              ?              ?
     10/06/2008              ?              ?
     11/06/2008              ?              ?
     12/06/2008              ?              ?
     13/06/2008              ?              ?
     14/06/2008              ?              ?
     15/06/2008              ?              ?
     16/06/2008              ?              ?
     17/06/2008              ?              ?
     18/06/2008              ?              ?
     19/06/2008              ?              ?
     20/06/2008              ?              ?
     21/06/2008              ?              ?
     22/06/2008              ?              ?
     23/06/2008              ?              ?
     24/06/2008              ?              ?
     25/06/2008              ?              ?
     26/06/2008              ?              ?
     27/06/2008              ?              ?
     28/06/2008              ?              ?
     29/06/2008              ?              ?
     30/06/2008              ?              ?
     01/07/2008              ?              ?
     02/07/2008              ?              ?
     03/07/2008              ?              ?
     04/07/2008              ?              ?
     05/07/2008              ?              ?
     06/07/2008              ?              ?
     07/07/2008              ?              ?
     08/07/2008              ?              ?
     09/07/2008              ?              ?
     10/07/2008              ?              ?
     11/07/2008              ?              ?
     12/07/2008              ?              ?
     13/07/2008              ?              ?
     14/07/2008              ?              ?
     15/07/2008              ?              ?
     16/07/2008              ?              ?
     17/07/2008              ?              ?
     18/07/2008              ?              ?
     19/07/2008              ?              ?
     20/07/2008              ?              ?
     21/07/2008              ?              ?
     22/07/2008              ?              ?
     23/07/2008              ?              ?
     24/07/2008              ?              ?
     25/07/2008              ?              ?
     26/07/2008              ?              ?
     27/07/2008              ?              ?
     28/07/2008              ?              ?
     29/07/2008              ?              ?
     30/07/2008              ?              ?
     31/07/2008              ?              ?
     01/08/2008              ?              ?
     02/08/2008              ?              ?
     03/08/2008              ?              ?
     04/08/2008              ?              ?
     05/08/2008              ?              ?
     06/08/2008              ?              ?
     07/08/2008              ?              ?
     08/08/2008              ?              ?
     09/08/2008              ?              ?
     10/08/2008              ?              ?
     11/08/2008              ?              ?
     12/08/2008              ?              ?
     13/08/2008              ?              ?
     14/08/2008              ?              ?
     15/08/2008              ?              ?
     16/08/2008              ?              ?
     17/08/2008              ?              ?
     18/08/2008              ?              ?
     19/08/2008              ?              ?
     20/08/2008              ?              ?
     21/08/2008              ?              ?
     22/08/2008              ?              ?
     23/08/2008              ?              ?
     24/08/2008              ?              ?
     25/08/2008              ?              ?
     26/08/2008              ?              ?
     27/08/2008              ?              ?
     28/08/2008              ?              ?
     29/08/2008              ?              ?
     30/08/2008              ?              ?
     31/08/2008              ?              ?
     01/09/2008              ?              ?
     02/09/2008              ?              ?
     03/09/2008              ?              ?
     04/09/2008              ?              ?
     05/09/2008              ?              ?
     06/09/2008              ?              ?
     07/09/2008              ?              ?
     08/09/2008              ?              ?
     09/09/2008              ?              ?
     10/09/2008              ?              ?
     11/09/2008              ?              ?
     12/09/2008              ?              ?
     13/09/2008              ?              ?
     14/09/2008              ?              ?
     15/09/2008              ?              ?
     16/09/2008              ?              ?
     17/09/2008              ?              ?
     18/09/2008              ?              ?
     19/09/2008              ?              ?
     20/09/2008              ?              ?
     21/09/2008              ?              ?
     22/09/2008              ?              ?
     23/09/2008              ?              ?
     24/09/2008              ?              ?
     25/09/2008              ?              ?
     26/09/2008              ?              ?
     27/09/2008              ?              ?
     28/09/2008              ?              ?
     29/09/2008              ?              ?
     30/09/2008              ?              ?
     01/10/2008              ?              ?
     02/10/2008              ?              ?
     03/10/2008              ?              ?
     04/10/2008              ?              ?
     05/10/2008              ?              ?
     06/10/2008              ?              ?
     07/10/2008              ?              ?
     08/10/2008              ?              ?
     09/10/2008              ?              ?
     10/10/2008              ?              ?
     11/10/2008              ?              ?
     12/10/2008              ?              ?
     13/10/2008              ?              ?
     14/10/2008              ?              ?
     15/10/2008              ?              ?
     16/10/2008              ?              ?
     17/10/2008              ?              ?
     18/10/2008              ?              ?
     19/10/2008              ?              ?
     20/10/2008              ?              ?
     21/10/2008              ?              ?
     22/10/2008              ?              ?
     23/10/2008              ?              ?
     24/10/2008              ?              ?
     25/10/2008              ?              ?
     26/10/2008              ?              ?
     27/10/2008              ?              ?
     28/10/2008              ?              ?
     29/10/2008              ?              ?
     30/10/2008              ?              ?
     31/10/2008              ?              ?
     01/11/2008              ?              ?
     02/11/2008              ?              ?
     03/11/2008              ?              ?
     04/11/2008              ?              ?
     05/11/2008              ?              ?
     06/11/2008              ?              ?
     07/11/2008              ?              ?
     08/11/2008              ?              ?
     09/11/2008              ?              ?
     10/11/2008              ?              ?
     11/11/2008              ?              ?
     12/11/2008              ?              ?
     13/11/2008              ?              ?
     14/11/2008              ?              ?
     15/11/2008              ?              ?
     16/11/2008              ?              ?
     17/11/2008              ?              ?
     18/11/2008              ?              ?
     19/11/2008              ?              ?
     20/11/2008              ?              ?
     21/11/2008              ?              ?
     22/11/2008              ?              ?
     23/11/2008              ?              ?
     24/11/2008              ?              ?
     25/11/2008              ?              ?
     26/11/2008              ?              ?
     27/11/2008              ?              ?
     28/11/2008              ?              ?
     29/11/2008              ?              ?
     30/11/2008              ?              ?
     01/12/2008              ?              ?
     02/12/2008              ?              ?
     03/12/2008              ?              ?
     04/12/2008              ?              ?
     05/12/2008              ?              ?
     06/12/2008              ?              ?
     07/12/2008              ?              ?
     08/12/2008              ?              ?
     09/12/2008              ?              ?
     10/12/2008              ?              ?
     11/12/2008              ?              ?
     12/12/2008              ?              ?
     13/12/2008              ?              ?
     14/12/2008              ?              ?
     15/12/2008              ?              ?
     16/12/2008              ?              ?
     17/12/2008              ?              ?
     18/12/2008              ?              ?
     19/12/2008              ?              ?
     20/12/2008              ?              ?
     21/12/2008              ?              ?
     22/12/2008              ?              ?
     23/12/2008              ?              ?
     24/12/2008              ?              ?
     25/12/2008              ?              ?
     26/12/2008              ?              ?
     27/12/2008              ?              ?
     28/12/2008              ?              ?
     29/12/2008              ?              ?
     30/12/2008              ?              ?
     31/12/2008              ?              ?
     01/01/2009          0.000            0.0
     02/01/2009          0.000            0.0
     03/01/2009          0.000            0.0
     04/01/2009          0.000            0.0
     05/01/2009          0.000            0.0
     06/01/2009          0.000            0.0
     07/01/2009          0.000            0.0
     08/01/2009          0.000            0.0
     09/01/2009          0.000            0.0
     10/01/2009          0.000            0.0
     11/01/2009          0.000            0.0
     12/01/2009          0.000            0.0
     13/01/2009          0.000            0.0
     14/01/2009          0.000            0.0
     15/01/2009          0.000            0.0
     16/01/2009          0.000            0.0
     17/01/2009          0.000            0.0
     18/01/2009          0.000            0.0
     19/01/2009          0.000            0.0
     20/01/2009          0.000            0.0
     21/01/2009          0.000            0.0
     22/01/2009          0.000            0.0
     23/01/2009          0.000            0.0
     24/01/2009          0.000            0.0
     25/01/2009          0.000            0.0
     26/01/2009          0.000            0.0
     27/01/2009          0.000            0.0
     28/01/2009          0.000            0.0
     29/01/2009          0.000            0.0
     30/01/2009          0.000            0.0
     31/01/2009          0.000            0.0
     01/02/2009          0.000            0.0
     02/02/2009          0.000            0.0
     03/02/2009          0.000            0.0
     04/02/2009          0.000            0.0
     05/02/2009          0.000            0.0
     06/02/2009          0.000            0.0
     07/02/2009          0.000            0.0
     08/02/2009          0.000            0.0
     09/02/2009          0.000            0.0
     10/02/2009          0.000            0.0
     11/02/2009          0.000            0.0
     12/02/2009          0.000            0.0
     13/02/2009          0.000            0.0
     14/02/2009          0.000            0.0
     15/02/2009          0.000            0.0
     16/02/2009          0.000            0.0
     17/02/2009          0.000            0.0
     18/02/2009          0.000            0.0
     19/02/2009          0.000            0.0
     20/02/2009          0.000            0.0
     21/02/2009          0.000            0.0
     22/02/2009          0.000            0.0
     23/02/2009          0.000            0.0
     24/02/2009          0.000            0.0
     25/02/2009          0.000            0.0
     26/02/2009          0.000            0.0
     27/02/2009          0.000            0.0
     28/02/2009          0.000            0.0
     01/03/2009          0.000            0.0
     02/03/2009          0.000            0.0
     03/03/2009          0.000            0.0
     04/03/2009          0.000            0.0
     05/03/2009          0.000            0.0
     06/03/2009          0.000            0.0
     07/03/2009          0.000            0.0
